"scans" "noise" "alpha" "beta"
50 3 0.001 0.1
50 3 0.001 0.2
50 3 0.001 0.3
50 3 0.05 0.1
50 3 0.05 0.2
50 3 0.05 0.3
50 5.5 0.001 0.1
50 5.5 0.001 0.2
50 5.5 0.001 0.3
50 5.5 0.05 0.1
50 5.5 0.05 0.2
50 5.5 0.05 0.3
50 7 0.001 0.1
50 7 0.001 0.2
50 7 0.001 0.3
50 7 0.05 0.1
50 7 0.05 0.2
50 7 0.05 0.3
100 3 0.001 0.1
100 3 0.001 0.2
100 3 0.001 0.3
100 3 0.05 0.1
100 3 0.05 0.2
100 3 0.05 0.3
100 5.5 0.001 0.1
100 5.5 0.001 0.2
100 5.5 0.001 0.3
100 5.5 0.05 0.1
100 5.5 0.05 0.2
100 5.5 0.05 0.3
100 7 0.001 0.1
100 7 0.001 0.2
100 7 0.001 0.3
100 7 0.05 0.1
100 7 0.05 0.2
100 7 0.05 0.3
150 3 0.001 0.1
150 3 0.001 0.2
150 3 0.001 0.3
150 3 0.05 0.1
150 3 0.05 0.2
150 3 0.05 0.3
150 5.5 0.001 0.1
150 5.5 0.001 0.2
150 5.5 0.001 0.3
150 5.5 0.05 0.1
150 5.5 0.05 0.2
150 5.5 0.05 0.3
150 7 0.001 0.1
150 7 0.001 0.2
150 7 0.001 0.3
150 7 0.05 0.1
150 7 0.05 0.2
150 7 0.05 0.3
